"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Atlanta city, Georgia","65.7","7.5","10.6","5.9","2.2","8.1",25.7
"Augusta-Richmond County consolidated government (balance), Georgia","83.2","10.5","0.8","3.2","1.3","0.9",20.4
"Columbus city, Georgia","77.8","9.5","1.5","1.2","0.7","9.3",18.8
"Johns Creek city, Georgia","74.3","5.9","0.5","1.8","1.4","16.1",30.3
"Macon city, Georgia","76.3","11.2","3.1","2.9","5.0","1.4",19.7
"Roswell city, Georgia","78.7","12.1","1.6","1.0","1.3","5.3",27.2
"Sandy Springs city, Georgia","76.8","5.6","6.8","1.2","1.7","7.9",24.7
"Savannah city, Georgia","75.2","11.0","3.6","4.8","2.1","3.3",18.7
"Warner Robins city, Georgia","N","N","N","N","N","N",19.2
"Urban Honolulu CDP, Hawaii","56.3","13.1","13.0","8.4","6.4","2.8",21.7
"Boise City city, Idaho","78.0","8.2","0.8","3.6","4.4","5.1",17.8
"Meridian city, Idaho","85.5","7.7","0.0","0.7","0.0","6.1",24.5
"Nampa city, Idaho","77.3","11.4","0.3","2.0","3.5","5.5",21.3
"Arlington Heights village, Illinois","82.3","3.3","6.2","2.8","0.7","4.7",29.1
"Aurora city, Illinois","77.0","13.4","3.4","1.3","0.9","4.0",27
"Bloomington city, Illinois","81.3","9.4","2.2","2.1","1.7","3.3",16.9
"Bolingbrook village, Illinois","83.3","6.1","2.4","1.2","0.6","6.4",32.3
"Champaign city, Illinois","65.8","10.1","5.2","10.8","3.5","4.6",15.9
"Chicago city, Illinois","50.4","9.1","26.3","6.9","3.0","4.3",33.6
"Cicero town, Illinois","60.1","20.3","13.4","4.1","0.9","1.2",30.9
"Decatur city, Illinois","83.6","8.3","1.9","2.9","1.1","2.2",17.9
"Elgin city, Illinois","73.9","18.5","3.0","2.3","0.5","1.7",29.6
"Evanston city, Illinois","48.0","6.0","20.4","11.7","5.9","8.1",28.4
"Joliet city, Illinois","85.1","6.7","1.8","0.8","3.2","2.4",28.9
"Naperville city, Illinois","74.3","6.4","7.7","1.6","2.2","7.8",33.2
"Palatine village, Illinois","83.2","5.5","3.9","3.1","1.1","3.2",26
"Peoria city, Illinois","78.5","10.3","3.8","2.9","1.2","3.3",18.8
"Rockford city, Illinois","81.8","9.9","1.7","1.0","1.9","3.7",19.5
"Schaumburg village, Illinois","81.6","9.3","4.0","0.9","0.6","3.6",28.4
"Skokie village, Illinois","73.8","8.3","10.3","1.2","2.4","4.0",29.8
"Springfield city, Illinois","82.0","8.1","1.9","3.2","1.3","3.5",17.1
"Waukegan city, Illinois","71.5","18.6","4.0","2.4","0.7","2.8",26
"Bloomington city, Indiana","57.7","8.0","7.0","16.2","4.4","6.6",15.2
"Carmel city, Indiana","84.3","6.0","0.1","1.1","0.2","8.4",24.1
"Evansville city, Indiana","83.6","6.6","3.9","2.3","1.5","2.1",18.3
"Fishers town, Indiana","84.8","9.7","0.0","0.0","1.1","4.4",28.8
"Fort Wayne city, Indiana","82.3","9.1","0.5","2.1","1.5","4.4",19.9
